"My Reward Points","Mis Momipuntos"
"Customer signs up in store","El cliente se registra en la tienda"
"Customer places order","El cliente pone orden"
"Customer refer a friend","El cliente se refiere a un amigo"
"Customer adds tag to a product","El cliente agrega la etiqueta a un producto"
"Customer writes a product review","El cliente escribe una reseña del producto"
"Customer has a birthday","El cliente tiene un cumpleaños"
"Customer is inactive for long time","El cliente está inactivo por mucho tiempo"
"Newsletter sign up","Inscríbete al boletín"
"Facebook Share","Compartir en FaceBook"
"Facebook Like","Dar Me gusta en Facebook"
"Twitter Tweet","Twittear en Twitter"
"Google+ Like","Google+ Like"
"Pinterest Pin","Pinterest Pin"
"Customer joins the affiliate program","El cliente se une al programa de afiliados"
"Push Notifications sign up","Registrate en notificaciones push"
"Referred customer signs up in store","Los clientes referidos se registran en la tienda"
"Order from referred customer","Orden del cliente referido"
"Points to Currency","Puntos a Moneda"
"Currency to Points","Moneda a Puntos"
"Customer Account > My Reward Points","Cuenta de cliente > Mis puntos de recompensa"
"Customer Account > My Referrals","Cuenta de cliente > Mis referencias"
"Cart Page","Cart Page"
"Message Sent","Message Sent"
"Signed Up","Signed Up"
"Made Order","Made Order"
"Visited by Referral Link","Visited by Referral Link"
"Subtotal + Tax","Subtotal + Tax"
"Subtotal + Tax + Shipping","Subtotal + Tax + Shipping"
"Product Rule","Product Rule"
"Cart Rule","Cart Rule"
"Behavior Rule","Behavior Rule"
"Transaction #%1 is expired","Transaction #%1 is expired"
"Update the Product","Update the Product"
"Is Rewards Points used","Is Rewards Points used"
"Coupon Used","Coupon Used"
"Coupon Code","Coupon Code"
No,No
Yes,Yes
"Conditions Combination","Conditions Combination"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
Customer,Customer
"Last 7-days Clicks","Last 7-days Clicks"
"Last 7-days Orders","Last 7-days Orders"
"Last 7-days Revenue","Last 7-days Revenue"
"Is Referee","Is Referee"
"Is Referral","Is Referral"
Email,Email
Group,Group
"Lifetime Sales","Lifetime Sales"
"Number of Orders","Number of Orders"
"Is subscriber of newsletter","Is subscriber of newsletter"
"Number of reviews","Number of reviews"
"Number of referred friends signups","Number of referred friends signups"
"Number of referred friends orders","Number of referred friends orders"
"Sum of referred friends orders","Sum of referred friends orders"
"Number of referrals who ordered at least once","Number of referrals who ordered at least once"
"Not registered","Not registered"
"Attribute Set","Attribute Set"
Quantity,Quantity
"Product Type","Product Type"
"Base Image","Base Image"
Thumbnail,Thumbnail
"Small Image","Small Image"
"Base Image Size (bytes)","Base Image Size (bytes)"
"Thumbnail Size (bytes)","Thumbnail Size (bytes)"
"Small Image Size (bytes)","Small Image Size (bytes)"
"PHP Condition","PHP Condition"
"Open Chooser","Open Chooser"
"Referred: Group","Referred: Group"
"Referred: Lifetime Sales","Referred: Lifetime Sales"
"Referred: Number of Orders","Referred: Number of Orders"
"Referred: Is subscriber of newsletter","Referred: Is subscriber of newsletter"
"Referred: Number of reviews","Referred: Number of reviews"
"Please specify a website.","Please specify a website."
"Please specify a customer email.","Please specify a customer email."
"We found an invalid value in a website column.","We found an invalid value in a website column."
"Please enter a valid email.","Please enter a valid email."
"Please make sure attribute ""%1"" is not empty.","Please make sure attribute ""%1"" is not empty."
"We can't find a customer who matches this email and website code.","We can't find a customer who matches this email and website code."
"-- Please Select --","-- Please Select --"
"Discount Used","Discount Used"
"Base Price","Base Price"
"Final Price","Final Price"
"Special Price","Special Price"
"Custom Product Attributes","Custom Product Attributes"
"- Disable these emails -","- Disable these emails -"
"Give X points to customer","Give X points to customer"
"Give X points for every spent Y","Give X points for every spent Y"
"Give X points for every Z quantity","Give X points for every Z quantity"
"For every Y, give X points","For every Y, give X points"
Pending,Pending
Approved,Approved
Discarded,Discarded
"You do not have permissions to create transactions. Please contact your site administrator.","You do not have permissions to create transactions. Please contact your site administrator."
"%1 has been added.","%1 has been added."
"%1 has been deducted.","%1 has been deducted."
"You earned %1 and spent %2 for this order.","You earned %1 and spent %2 for this order."
"You spent %1 for this order.","You spent %1 for this order."
"You earned %1 for this order.","You earned %1 for this order."
"Earned points will be enrolled to your account after we finish processing your order.","Earned points will be enrolled to your account after we finish processing your order."
"Rewards error occurred on the server. Please try to place the order again.","Rewards error occurred on the server. Please try to place the order again."
"Possible discount %1 %2","Possible discount %1 %2"
"Earn %1 %2","Earn %1 %2"
"Earn at least %1 %2","Earn at least %1 %2"
Edit,Edit
Back,Back
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
"Delete the record with ID ""${ $.$data.transaction_id }""","Delete the record with ID ""${ $.$data.transaction_id }"""
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?"
"Use Reward Points","Use Reward Points"
"%1 have <b>%2</b> available.","%1 have <b>%2</b> available."
"Enter amount of points to spend:","Enter amount of points to spend:"
"Apply Points","Apply Points"
"Cancel Points","Cancel Points"
"Use maximum %1","Use maximum %1"
"Points Summary","Points Summary"
"To unsubscribe from points expiring notification click %1","To unsubscribe from points expiring notification click %1"
"You have <b>%1</b> in your account.","You have <b>%1</b> in your account."
"Transactions History","Transactions History"
Points,Points
Created,Created
Expires,Expires
"There are no Transactions.","There are no Transactions."
"Your points balance will expire in %1 days.","Your points balance will expire in %1 days."
"Visit My Reward Points Section","Visit My Reward Points Section"
"Login to earn %1 for sharing!","Login to earn %1 for sharing!"
"Earn %1 for sharing!","Earn %1 for sharing!"
"Like this page and earn %1","Like this page and earn %1"
Share,Share
"Share this page and earn %1","Share this page and earn %1"
"Plus this page and earn %1","Plus this page and earn %1"
"Pin this page and earn %1","Pin this page and earn %1"
"Refer Friends","Refer Friends"
"Refer friend and earn %1. More friends more points!","Refer friend and earn %1. More friends more points!"
Tweet,Tweet
"Tweet this page and earn %1","Tweet this page and earn %1"
"Check this out!","Check this out!"
"You have <b>%1</b> available.","You have <b>%1</b> available."
Apply,Apply
Cancel,Cancel
"You Earn","You Earn"
"You Spend","You Spend"
"Discount amount","Discount amount"
"This is a required field","This is a required field"
"Subscription to Points Expiration Notification","Subscription to Points Expiration Notification"
"Earning %1","Earning %1"
"Buy to earn %1","Buy to earn %1"
"You'll earn %1 for this item","You'll earn %1 for this item"
"Share with Friends","Share with Friends"
"Share the referral link in the social media and get points!","Share the referral link in the social media and get points!"
"Tweet on Twitter","Tweet on Twitter"
"Your referral link:","Your referral link:"
"Send Invitations","Send Invitations"
"Enter contacts of your friends to invite them.","Enter contacts of your friends to invite them."
Name,Name
Message,Message
Referrals,Referrals
Status,Status
"Referred by link","Referred by link"
"There are no Referrals","There are no Referrals"
"You have","You have"
available.,available.
"Use maximum","Use maximum"
"Enter amount of points to spend","Enter amount of points to spend"
"Point Unit Name","Point Unit Name"
"Reward points expire after, days","Reward points expire after, days"
"Approve earned points on invoice","Approve earned points on invoice"
"Approve earned points on shipment","Approve earned points on shipment"
"Approve earned points if order has status","Approve earned points if order has status"
"Cancel earned points after order refunding","Cancel earned points after order refunding"
"Restore spent points after order refunding","Restore spent points after order refunding"
"Include discount for Earning rules","Include discount for Earning rules"
"Include tax for Earning rules","Include tax for Earning rules"
"Include tax for Spending rules","Include tax for Spending rules"
"Allow to earn points from shipping charges","Allow to earn points from shipping charges"
"Allow to spend points for shipping charges","Allow to spend points for shipping charges"
"Allow to place orders with grand total = 0","Allow to place orders with grand total = 0"
"Allow to display product points as currency equivalent","Allow to display product points as currency equivalent"
"Allow to display maximum amount of possible points for configurable product","Allow to display maximum amount of possible points for configurable product"
"Email Sender","Email Sender"
"Balance update Email","Balance update Email"
"Points expire Email","Points expire Email"
"Send notification before points expiring (in days)","Send notification before points expiring (in days)"
"Enable Referral System","Enable Referral System"
"Invitation Email Template","Invitation Email Template"
"Show rewards points menu on frontend","Show rewards points menu on frontend"
"Show rewards points on category page","Show rewards points on category page"
"Show number of points on the product page","Show number of points on the product page"
"Round earning points down","Round earning points down"
"Custom Behavior Events","Custom Behavior Events"
"Force to apply styles","Force to apply styles"
"Social Networks Settings","Social Networks Settings"
"Facebook App ID","Facebook App ID"
"Show Facebook Like button","Show Facebook Like button"
"Show Facebook Share button","Show Facebook Share button"
"Show Twitter Follow button","Show Twitter Follow button"
"Show Google Plus +1 button","Show Google Plus +1 button"
"Show Pinterest pin button","Show Pinterest pin button"
"Show AddThis","Show AddThis"
"AddThis Code","AddThis Code"
"Notification Rules' messages","Notification Rules' messages"
Template,Template
"Notification Rule Template","Notification Rule Template"
Phone,Phone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
"Web Site","Web Site"
"General Information","General Information"
"Rule Name","Rule Name"
Type,Type
"Is Active","Is Active"
"Active From","Active From"
"Active To","Active To"
Websites,Websites
"Stop further rules processing","Stop further rules processing"
Priority,Priority
"Arranged in the ascending order. 0 is the highest.","Arranged in the ascending order. 0 is the highest."
"Number of Inactive Days","Number of Inactive Days"
Actions,Actions
"Number of points to give (X)","Number of points to give (X)"
"Step (Y)","Step (Y)"
"In base currency","In base currency"
"Quantity Step (Z)","Quantity Step (Z)"
"Maximum number of earned points for one customer per day","Maximum number of earned points for one customer per day"
"Assign customer to Group","Assign customer to Group"
Notification,Notification
"Message for customer notification email","Message for customer notification email"
"You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        Leave empty to use default notification email.<br/>
                        
                    ","You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        Leave empty to use default notification email.<br/>
                        
                    "
"Customer Earning Style","Customer Earning Style"
"Number of Points (X)","Number of Points (X)"
"Earn Maximum","Earn Maximum"
"Add New","Add New"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
"Change status","Change status"
Enable,Enable
Disable,Disable
"Number of points to earn","Number of points to earn"
Website,Website
"Maximum Distributed Points","Maximum Distributed Points"
"You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        
                    ","You can use the following variables:<br/>
                        {{var customer.name}} - customer name<br/>
                        {{store url=""""}} - store URL<br/>
                        {{var store.getFrontendName()}} - store name<br/>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br/>
                        
                    "
"Show message on","Show message on"
"Affiliate Customer","Affiliate Customer"
"Referral Customer","Referral Customer"
"Referral Email","Referral Email"
"Referral Name","Referral Name"
Store,Store
"For each spent X points","For each spent X points"
"Customer receive Y discount","Customer receive Y discount"
"You can enter amount in base currency or percent. e.g. 100 or 5%.","You can enter amount in base currency or percent. e.g. 100 or 5%."
"Spend minimum","Spend minimum"
"Spend maximum","Spend maximum"
Discount,Discount
"Points Balance Change","Points Balance Change"
"You can use the following variables:<br>
                        {{var customer.name}} - customer name<br>
                        {{store url=""""}} - store URL<br>
                        {{var store.getFrontendName()}} - store name<br>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br>
                        Leave empty to use default notification email.<br>
                        
                    ","You can use the following variables:<br>
                        {{var customer.name}} - customer name<br>
                        {{store url=""""}} - store URL<br>
                        {{var store.getFrontendName()}} - store name<br>
                        {{var transaction_amount}} - formatted amount of current transaction (e.g 10 Rewards Points)<br>
                        {{var balance_total}} - formatted balance of customer account (e.g. 100 Rewards Points)<br>
                        Leave empty to use default notification email.<br>
                        
                    "
CSV,CSV
"Excel XML","Excel XML"
