Back,Atrás
"Unable to open your CSV file. Please make sure File Path is correct.","No se puede abrir su archivo CSV. Por favor asegúrese que la ruta del archivo sea la correcta."
"Duplicated attributes.","Atributos duplicados."
"""Can't create local file /var/import/dropbox'. Please check files permissions. "" .","""No se puede crear el archivo local /var/import/dropbox'. Por favor chequuee los permisos de archivo. "" ."
"File not found on Dropbox","No se encontró el archivo en Dropbox"
"Can't initialize %s client","No se puede inicializar el cliente %s "
"Folder for import / export don't have enough permissions! Please set 775","La carpeta de importación / exportación no tiene los suficientes permisos! Por favor setéelos en 775"
"File not found","Archivo no encontrado"
"You have installed and enabled FireBear Studio Improved Import / Export extension - to use it please go to System -> %1 / %2. We don't improve and not make any changes on default Magento 2 Import / Export behaviour!","Se ha instalado y habilitado la extensión Importación / Exportación Mejorada de FireBear Studio - para utilizarla por favor diríjase a Sistema -> %1 / %2. No mejoramos ni realizamos ningún cambio en el comportamiento de Importación / Exportación de Magento 2 !"
"File is valid! To start import process press ""Import"" button","El archivo es válido! Para empezar el proceso de importación presione el botón ""Importar"" "
"Show more","Mostrar más"
"Additional data","Datos adicionales"
"Following Error(s) has been occurred during importing process:","Los siguientes errore(es) se han encontrado durante el proceso de importación:"
"Only the first 100 errors are shown. ","Sólo los primeros 100 errores son mostrados. "
"Download full report","Descargar reporte completo"
"in row(s):","en fila(s):"
"The format of this file is not suitable","El formato de este archivo no es el adecuado"
"Edit & Run","Editar & Ejecutar"
Delete,Eliminar
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you want to delete a ""${ $.$data.title }"" record?","Are you sure you want to delete a ""${ $.$data.title }"" record?"
Enable,Habilitar
Disable,Deshabilitar
Minutes,Minutos
Hours,Horas
Days,Días
Months,Meses
"Days of Week","Días de Semana"
"-- Please Select --","-- Por favor Seleccione --"
"Product Attributes","Atributos de producto"
"Special Fields","Campos especiales"
"Other Fields","Otros campos"
Yes,Si
No,No
"Stop on Error","Detenerse cuando ocurra un error"
"Skip error entries","Saltear mensajes de error"
Download,Descargar
notice,aviso
"Some items may not be compatible","Algunos items pueden no ser compatibles"
"Download file","Descargar archivo"
"Please configure File Path.","Por favor configure la ruta de archivo."
"Fail! Can't connect ","Error! No se puede conectar "
"Success! Your connection is ready!","Felicitaciones! Su conexión está lista!"
"Error on General : You have not selected a Entity Type yet or wrong File Path!","Error General : No ha seleccionado un tipo de entidad aún o la ruta al archivo es incorrecta!"
"The import may not work correctly. No match for fields: ","La importación puede no funcionar correctamente. No hay coincidencia para los campos: "
"File validated successfully. Please review and update custom mapping settings if necessary and click Save & Run to run the import job","Archivo validado satisfactoriamente. Por favor revise y actualice las opciones de mapeo personalizadas si es neccesario y haga click en Guardar & Ejecutar para correr el trabajo de importación"
"Select A Column","Seleccione una columna"
"File you are trying to upload exceeds maximum file size limit.( ","El archivo que intenta subir excede el límite de tamaño máximo de archivo.( "
"Job saved successfully - please click Run button for launch","Trabajo guardado satisfactiriamente - Por favor jaga click el el botón Ejecutar para comenzar"
Error,Error
"The process is over","El proceso terminó"
"Improved Import / Export","Importación / Exportación Mejorada"
"Firebear Studio","Firebear Studio"
Import/Export,Importar/Exportar
General,General
"Create attributes values on the fly","Creal valores de atributo cobre la marcha"
"Add New Job","Agregar nuevo trabajo"
ID,ID
JobId,IdTrabajo
Type,Tipo
Start,Comenzar
Finish,Finalizar
Log,Log
"Delete items","Eliminar items"
"Are you sure you want to delete selected items?","Está seguro que desea eliminar los ítems seleccionados?"
Edit,Editar
Title,Título
Cron,Cron
Frequency,Frecuencia
"Entity Type","Tipo de Entidad"
"Export Source","Origen de Exportación"
"General Information","Información General"
"General Settings","Configuración General"
"Enable Job","Habilitar trabajo"
"Job Title","Título del trabajo"
"Cron Shedule","Cron Shedule"
"Export Settings","Configuración de Exportación"
Entity,Entidad
"Export Behavior","Comportamiento de exportación"
"File Format","Formato de archivo"
"Field Separator","Separador de campo"
"Multiple value separator","Separador de valores múltiples"
"Field Enclosure","Campos encerrados"
"Map Attributes","Mapear Atributos"
"Only fields from Mapping","Sólo campos de mapeo"
"Add New","Agregar Nuevo"
"Mapping feature allows you to set the conformity between custom data structure and Magento 2 fields. Entity - source of system attribute; System Attribute - select system attributes that should be mapped to custom attributes; Export Attributes - specify custom attributes; DefaultValued - add hardcoded values if necessary.",
La función de mapeo le permite establecer la conformidad entre la estructura de datos personalizada y los campos de Magento 2. Entidad: fuente del atributo del sistema; Atributo del sistema: seleccione los atributos del sistema que deben asignarse a los atributos personalizados; Atributos de exportación: especifique los atributos personalizados; Valor predeterminado: agregue código fijo. valores si es necesario ".
"System Attribute","Atributo de Sistema"
"Export Attribute","Atributo de Exportación"
"${ $.parentName}.source_data_system:value","${ $.parentName}.source_data_system:value"
"Default Value","Valor por Defecto"
Filters,Filtros
"Add Filter","Agregar Filtro"
"Filters allow you to import / export only specific entities which match configured filter conditions.","Los filtros le permiten Importar / Exportar sólo entidades específicas que concuerden con las condiciones de filtrado configuradas."
${$.parentName}.source_filter_entity:value,${$.parentName}.source_filter_entity:value
Field,Campo
Filter,Filtrar
Debug,Depurar
"Import Settings","Opciones de importación"
"Import Behavior","Comportamiento de importación"
"Category Levels separated by","Etiquetas de categoría separadas por"
"Categories separated by","Categorías separadas por"
"Import Source","Origen de importación"
"Import File Type","Tipo de archivo de importación"
"Select A Platform","Seleccione una plataforma"
"Import Attribute","Importar Atributo"
