"Shopping Cart","Carrito de Compras"
"Options Details","Detalles de opciones"
Remove,Remover
"Cart Subtotal","Subtotal del Carrito"
"Payment Information","Información de pago"
"No Payment method available.","No hay método de Pago disponible."
"You can track your order status by creating an account.","Puede rastrear el estado de su pedido creando una cuenta."
"Place Order","Realizar Pedido"
"Forgot an Item?","Olvidó un artículo?"
"Edit Your Cart","Edite su carrito"
"Ship Here","Enviar Aquí"
"Ship To:","Enviar a:"
edit,editar
"Order Summary","Resumen del pedido"
"View and Edit Cart","Ver y Editar Carrito"
"View Details","Ver Detalles"
"Field ","Campo "
" is required."," es requerido."
"Provided Zip/Postal Code seems to be invalid.","El Código Postal provisto parece ser inválido."
" Example: "," Ejemplo: "
"If you believe it is the right one you can ignore this notice.","Si crees que es el correcto, puedes ignorar este aviso."
"New Address","Nuevo Domicilio"
"Are you sure you would like to remove this item from the shopping cart?","¿Seguro que quieres eliminar este artículo del carrito de compras?"
"Review & Payments","Revisión y pagos"
"Select a new payment method","Seleccione un nuevo Método de Pago"
Shipping,Envío
"Save Address","Guardar Domicilio"
"Please specify a shipping method.","Por favor especifique un nuevo Método de Envío."
"Checkout Options","Opciones de Checkout"
"Enable Onepage Checkout","Habilitar Checkout de una sola Página"
"Allow Guest Checkout","Permitir Checkout a invitados"
"Display Billing Address On","Mostrar dirección de facturación activada"
"Maximum Number of Items to Display in Order Summary","Número máximo de elementos para mostrar en resumen de pedido"
"Quote Lifetime (days)","Tiempo de vida de la Cotización (días)"
"After Adding a Product Redirect to Shopping Cart","Después de Agregar un producto, redireccionar al Carrito de Compras"
"Number of Items to Display Pager","Número de Ítems para mostrar el Paginador"
"My Cart Link","Link a Mi Carrito"
"Display Cart Summary","Mostrar Resumen de Carrito"
"Shopping Cart Sidebar","Barra Lateral del Carrito de Compras"
"Display Shopping Cart Sidebar","Mostrar Barra Lateral del Carrito de Compras"
"Number of Items to Display Scrollbar","Número de elementos para mostrar la barra de desplazamiento"
"Maximum Number of Items to Display","Número máximo de elementos para mostrar"
"Payment Failed Emails","Correo electrónico con errores de pago"
"Payment Failed Email Sender","Remitente de correo electrónico con errores de pago"
"Payment Failed Email Receiver","Receptor de correo electrónico con errores de pago"
"Payment Failed Template","Plantilla de Pago Fallido"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida en función del respaldo del tema cuando se selecciona la opción ""Predeterminado""."
"Send Payment Failed Email Copy To","Enviar Copia de Email de Pago Fallido a"
"Separate by "","".","Separado por "",""."
"Send Payment Failed Email Copy Method","Método de Copia de envío de Email de Pago Fallido"
Summary,Sumario
"Order Total","Total del Pedido"
"Shipping Address","Dirección de Envío"
"We'll send your order confirmation here.","Le enviaremos la confirmación de su pedido aquí."
Payment,Pago
"Not yet calculated","No calculado aún"
"We received your order!","Hemos recibido su Pedido!"
"Thank you for your purchase!","Gracias por su Compra!"
